"Index","CloneUrl","LocalDirectory","Branch","Head","CommitDate","READMEFirstLine","TopLevelEntries","OperatorHints","IndexedFiles","CodeFiles","CodeBytes","DataCopy","DataCopyPad","DataCopyExtParams","TPipe","TQue","TBuf","PipeBarrier","SetAtomicAdd","SetVectorMask","WholeReduceSum","ReduceSum","Compare","Select","Gather","Scatter","Transpose","Cast","Matmul","Tiling","Template","BufferNum","BlockIndex","Alignment"
"84","https://github.com/DanceToBurning/Ascend-S6-.git","R084_github_DanceToBurning_Ascend-S6-","main","42bbdacb0f53fa1f01f28f4fdfb8db45d448e0dc","2025/11/13 14:38:39","","fmin | hypot | logcumsumexp","fmin | hypot | logcumsumexp","15","9","68356","9","3","3","3","8","3","0","0","0","0","0","1","5","0","0","0","22","0","15","5","19","5","0"
"85","https://github.com/halfstark/ascend-s5.git","R085_github_halfstark_ascend-s5","main","58001c271c0a48b3596be12dccdac5592e085030","2025/9/10 13:28:22","","copysign | glugradjvp | glujvp | lcm","copysign | glugradjvp | glujvp | lcm","35","27","244717","48","72","40","39","36","23","0","0","0","0","0","0","3","0","0","0","37","0","24","17","96","17","0"
"86","https://github.com/JackSimbol02/CANN-Comp.git","R086_github_JackSimbol02_CANN-Comp","main","11eb021e49c8be477ed788e47f3c2567dd6f24a5","2025/6/8 9:14:15","","ArgMaxWithValue_final.zip | NLLLoss_final.zip | S4赛题.zip","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","https://github.com/KaranocaVe/AscendC-S6.git","R087_github_KaranocaVe_AscendC-S6","main","556c978b1b2681ae5639020a57fbbabe6f19e712","2025/11/10 20:04:37","升腾AI创新大赛-算子挑战赛S6-挑战性能命题-开源仓","Fmin | FractionalMaxPool3D | FractionalMaxPool3DGrad | Logcumsumexp | .gitmodules | LICENSE | README.md","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","https://github.com/kgcyyds/S4.git","R088_github_kgcyyds_S4","main","510743530829d9bf5054955a93edbc6e04ad71ee","2025/5/30 16:28:52","HustAga 昇腾AI算子挑战赛（S4赛季）挑战性能命题","Eye | Heaviside | .DS_Store | README.md","Eye | Heaviside","11","6","15824","2","2","2","6","2","2","0","0","0","0","0","0","2","0","0","0","0","0","6","3","5","2","0"
"89","https://github.com/kgcyyds/S5_HustAga.git","R089_github_kgcyyds_S5_HustAga","main","60d2092e506aa25940474ba277bd1b32a070a76b","2025/9/11 18:26:15","","BitwiseLeftShift | GluGradJvp | GluJvp | Lcm | .DS_Store","BitwiseLeftShift | GluGradJvp | GluJvp | Lcm","20","12","85971","2","52","21","16","16","7","0","0","0","0","0","0","4","2","0","0","34","0","12","9","0","9","0"
"90","https://github.com/kgcyyds/S6.git","R090_github_kgcyyds_S6","main","d07d7a12d8f17878cfe4438f03880a90aaa38ebd","2025/11/15 17:07:37","","FractionalMaxPool3D | FractionalMaxPool3DGrad | .DS_Store","FractionalMaxPool3D | FractionalMaxPool3DGrad","10","6","46279","0","12","10","5","6","2","0","0","0","0","0","0","0","4","0","0","4","0","6","3","0","3","27"
"91","https://github.com/linnlh/ascendc-2024-final.git","R091_github_linnlh_ascendc-2024-final","master","794074e0948dd9d2b3f1a708b2a4d77cd7c32406","2025/6/9 23:11:19","ascendc-2024-final","gcd | .gitignore | README.md | submit.sh","gcd","34","6","37821","0","2","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","14","5","1","0"
"92","https://github.com/meaningfuI/Ascend-S5.git","R092_github_meaningfuI_Ascend-S5","main","c0dfa654fbb32edd7df2099d2c96382a70f5ffa3","2025/9/12 17:34:29","Ascend S5","BitwiseLeftShift | Copysign | Lcm | README.md","BitwiseLeftShift | Copysign | Lcm","13","9","85100","9","6","4","15","12","6","0","0","17","0","0","0","0","0","0","0","54","1","9","10","33","23","14"
"93","https://github.com/MiracleDrawer/Ascend_S4.git","R093_github_MiracleDrawer_Ascend_S4","master","7afa4c5a4a340741400851009051fc38641b1470","2025/4/2 16:04:06","[![License: GPL v2](https://img.shields.io/badge/License-GPL%20v2-blue.svg)](https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html)","MatMul | .gitignore | MatMul.json","MatMul | MatMul_zip","52","13","117680","0","16","10","16","6","5","0","0","0","0","0","0","4","12","0","0","0","18","6","13","0","10","0"
